Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
,Total,Crimes contra as pessoas,Crimes de homicídio voluntário consumado,Crimes contra o património,Crimes contra a identidade cultural e integridade pessoal,Crimes contra a vida em sociedade,Crimes contra o Estado,Crimes contra animais de companhia,Crimes previstos em legislação avulsa
1500808: Loulé,4168.00,663.00,x x,2855.00,x x,388.00,41.00,- -,221.00
1500809: Monchique,178.00,23.00,x x,117.00,x x,26.00,5.00,- -,7.00
1500810: Olhão,1840.00,477.00,x x,1006.00,x x,180.00,33.00,- -,144.00
1500811: Portimão,2992.00,674.00,x x,1792.00,x x,268.00,43.00,- -,215.00
1500812: São Brás de Alportel,343.00,71.00,x x,215.00,x x,33.00,9.00,- -,15.00
1500813: Silves,2124.00,309.00,x x,1372.00,x x,252.00,47.00,- -,144.00
1500814: Tavira,1262.00,230.00,x x,783.00,x x,140.00,34.00,- -,75.00
1500815: Vila do Bispo,345.00,33.00,x x,282.00,x x,14.00,? ?,- -,? ?
1500816: Vila Real de Santo António,954.00,256.00,x x,547.00,x x,63.00,13.00,- -,75.00
2: Região Autónoma dos Açores,10333.00,3772.00,x x,4595.00,x x,841.00,208.00,- -,917.00
20: Região Autónoma dos Açores,10333.00,3772.00,x x,4595.00,x x,841.00,208.00,- -,917.00
200: Região Autónoma dos Açores,10333.00,3772.00,x x,4595.00,x x,841.00,208.00,- -,917.00
2004301: Angra do Heroísmo,1361.00,428.00,x x,652.00,x x,141.00,21.00,- -,119.00
2004501: Calheta,106.00,45.00,x x,33.00,x x,15.00,? ?,- -,? ?
2004901: Corvo,9.00,5.00,x x,4.00,x x,- -,- -,- -,- -
2004701: Horta,478.00,147.00,x x,182.00,x x,60.00,20.00,- -,69.00
2004201: Lagoa,673.00,256.00,x x,287.00,x x,57.00,19.00,- -,54.00
2004801: Lajes das Flores,38.00,10.00,x x,12.00,x x,7.00,? ?,- -,? ?
2004601: Lajes do Pico,85.00,41.00,x x,34.00,x x,6.00,? ?,- -,? ?
2004602: Madalena,198.00,78.00,x x,66.00,x x,16.00,8.00,- -,30.00
2004202: Nordeste,133.00,51.00,x x,53.00,x x,18.00,5.00,- -,6.00
2004203: Ponta Delgada,3523.00,1197.00,x x,1639.00,x x,266.00,74.00,- -,347.00
2004204: Povoação,191.00,75.00,x x,81.00,x x,22.00,- -,- -,13.00
2004205: Ribeira Grande,1629.00,634.00,x x,825.00,x x,68.00,14.00,- -,88.00
2004401: Santa Cruz da Graciosa,139.00,56.00,x x,50.00,x x,18.00,? ?,- -,? ?
2004802: Santa Cruz das Flores,102.00,49.00,x x,22.00,x x,12.00,4.00,- -,15.00
2004603: São Roque do Pico,96.00,37.00,x x,39.00,x x,10.00,3.00,- -,7.00
2004502: Velas,140.00,48.00,x x,62.00,x x,23.00,? ?,- -,? ?
2004302: Vila da Praia da Vitória,744.00,305.00,x x,298.00,x x,66.00,16.00,- -,59.00
2004101: Vila do Porto,177.00,89.00,x x,68.00,x x,12.00,? ?,- -,? ?
2004206: Vila Franca do Campo,465.00,220.00,x x,186.00,x x,22.00,4.00,- -,33.00
3: Região Autónoma da Madeira,7515.00,2599.00,x x,3156.00,x x,1195.00,115.00,- -,450.00
30: Região Autónoma da Madeira,7515.00,2599.00,x x,3156.00,x x,1195.00,115.00,- -,450.00
300: Região Autónoma da Madeira,7515.00,2599.00,x x,3156.00,x x,1195.00,115.00,- -,450.00
3003101: Calheta,197.00,85.00,x x,49.00,x x,53.00,3.00,- -,7.00
3003102: Câmara de Lobos,936.00,320.00,x x,363.00,x x,174.00,26.00,- -,53.00
3003103: Funchal,3493.00,1110.00,x x,1654.00,x x,523.00,50.00,- -,156.00
3003104: Machico,780.00,344.00,x x,272.00,x x,117.00,10.00,- -,37.00
3003105: Ponta do Sol,157.00,64.00,x x,54.00,x x,29.00,? ?,- -,? ?
3003106: Porto Moniz,73.00,32.00,x x,23.00,x x,14.00,? ?,- -,? ?
3003201: Porto Santo,131.00,55.00,x x,53.00,x x,16.00,? ?,- -,? ?
3003107: Ribeira Brava,472.00,193.00,x x,161.00,x x,94.00,9.00,- -,15.00
3003108: Santa Cruz,833.00,290.00,x x,410.00,x x,99.00,8.00,- -,26.00
3003109: Santana,160.00,52.00,x x,60.00,x x,40.00,? ?,- -,? ?
3003110: São Vicente,147.00,49.00,x x,55.00,x x,35.00,? ?,- -,? ?
